titles,author_journal,abstracts,n_citations,author,journal,page,year
"Gates, gaps, and intergenerational mobility: The importance of an even start","TMT Smeeding - The Dynamics of Opportunity in America, 2016 - library.oapen.org","… focuses on how intergenerational mobility is affected by … thereby reduce differences in
mobility among children born in … conclusion that opportunity and mobility are declining for lower …",11,TMT Smeeding,The Dynamics of Opportunity in America,library.oapen.org,2016
Intergenerational income mobility among daughters,"L Chadwick, G Solon - American Economic Review, 2002 - pubs.aeaweb.org","… This paper presents new evidence on daughters’ intergenerational mobility in a framework
… literature on intergenerational mobility, we will express the intergenerational persistence of …",497,"L Chadwick, G Solon",American Economic Review,pubs.aeaweb.org,2002
Work attitudes and intergenerational mobility,"M Gradstein - Journal of Human Capital, 2009 - journals.uchicago.edu","… with traditional macroeconomic models of intergenerational income mobility. This paper,
therefore, proposes a theory of intergenerational mobility whereby instilling strict work attitudes …",10,M Gradstein,Journal of Human Capital,journals.uchicago.edu,2009
Intergenerational mobility and adult oral health in a British cohort,"EK Delgado‐Angulo, E Bernabé - Community Dentistry and …, 2015 - Wiley Online Library","… periodontal status while downward mobility was associated with … characterize trajectories of
intergenerational mobility and to … the overall impact of intergenerational mobility on adult oral …",13,"EK Delgado‐Angulo, E Bernabé",Community Dentistry and …,Wiley Online Library,2015
Does parental migration increase upward intergenerational mobility? Evidence from rural China,"Q Feng, Q He - Economic Modelling, 2022 - Elsevier","… Besides, explaining the factors that shape intergenerational mobility in developing countries,
this study also contributes to sources of income inequality, which has been paid increasing …",NA,"Q Feng, Q He",Economic Modelling,Elsevier,2022
Intergenerational mobility rates of urban school teachers,"M Betz, J Garland - Sociology of Education, 1974 - JSTOR","… terms of the intergenerational flow of … intergenerational mobility differ over a period of time,
as simulated with five age groups, and across occupational family origins. Analysis of mobility …",17,"M Betz, J Garland",Sociology of Education,JSTOR,1974
Nursing as a pathway to women's empowerment and intergenerational mobility,"S Brownie, AH Wahedna, N Crisp - Journal of clinical nursing, 2018 - Wiley Online Library","Aim and objective To assess the impact of nursing education on the intergenerational
mobility of graduates of nursing upskilling programmes. Background Challenges for low‐ and …",8,"S Brownie, AH Wahedna, N Crisp",Journal of clinical nursing,Wiley Online Library,2018
Elusive pathways out of poverty: Intra-and intergenerational mobility in the favelas of Rio De Janeiro,"JE Perlman - Out of, 2007 - books.google.com","… a distinct advantage in socioeconomic and spatial mobility. Despite the daunting challenges
of … mobility we want to know, “Is poverty sticky?” And for intergenerational mobility we ask,“Is …",22,JE Perlman,Out of,books.google.com,2007
Is there a gender bias in intergenerational mobility? Evidence from Cameroon,"R Fontep, K Sen - 2020 - econstor.eu","… Abstract: We examine the intergenerational mobility of women relative to men, using paired
… , intergenerational mobility is higher for sons than for daughters. The intergenerational …",4,"R Fontep, K Sen",,econstor.eu,2020
"Intergenerational Mobility and the Effects of Parental Education, Time Investment, and Income on Childrenâ€™ S Educational Attainment","GL Gayle, L Golan, M Soytas - 2018 - papers.ssrn.com","… that it is linked to intergenerational mobility. Inter generational mobility refers to the change
… is a sign of low intergenera tional income mobility and likely means that children born to …",11,"GL Gayle, L Golan, M Soytas",,papers.ssrn.com,2018
Intergenerational mobility and entrepreneurship in Uruguay,"N Gandelman, V ROBANO - Latin american journal of economics, 2014 - SciELO Chile","… In this paper, we use household survey data to analyze the relationships between
entrepreneurship and intergenerational mobility in Uruguay for the period 1982-2010. We …",11,"N Gandelman, V ROBANO",Latin american journal of economics,SciELO Chile,2014
Trends in intergenerational income mobility,"CI Lee, G Solon - 2006 - nber.org","… , if we had seen reduced intergenerational mobility and increased differentiation in economic
… The evidence is not available regarding intergenerational mobility, but when it is, I believe …",89,"CI Lee, G Solon",,nber.org,2006
Intergenerational mobility: Trends across the earnings distribution,"E Bratberg, ØA Nilsen, K Vaage - Available at SSRN 682482, 2005 - papers.ssrn.com","… the intergenerational mobility in Norway and find, in accordance with the UK and the US …
, ie an increase in the intergenerational mobility. The increased mobility is not homogeneous …",14,"E Bratberg, ØA Nilsen, K Vaage",Available at SSRN ,papers.ssrn.com,682482
Understanding mobility in America,"T Hertz - Center for American Progress Discussion Paper, 2006 - researchgate.net","… ✵ By international standards, the United States has an unusually low level of
intergenerational mobility: our parents’ income is highly predictive of our incomes as adults. …",237,T Hertz,Center for American Progress Discussion Paper,researchgate.net,2006
Name-based estimators of intergenerational mobility: evidence from Finnish veterans,"T Santavirta, J Stuhler - 2019 - tsantavirta.com","… A fascinating development in intergenerational research is … innovative research on mobility
across multiple generations, … methods we compare the intergenerational mobility of the two …",8,"T Santavirta, J Stuhler",,tsantavirta.com,2019
Intergenerational mobility and the role of education in Korea,"H Kim - Human Capital Policy, 2021 - elgaronline.com","… mobility occur will hint at policy measures that ensure equal … social mobility focusing on
intergenerational mobility and evaluates the role of education in the rise and fall of such mobility. …",10,H Kim,Human Capital Policy,elgaronline.com,2021
"Educational systems, intergenerational mobility and social segmentation","N Chusseau, J Hellier - The European Journal of Comparative …, 2011 - core.ac.uk","… From (8) and (9), we can write the human capital intergenerational mobility functions …
We start from a certain distribution of human capital and we simulate the intergenerational …",13,"N Chusseau, J Hellier",The European Journal of Comparative …,core.ac.uk,2011
"Educational systems, intergenerational mobility and social segmentation","N Chusseau, J Hellier - European Journal of Comparative …, 2010 - papers.ssrn.com","We show that the characteristics of the educational system itself can generate social
segmentation. A stylised educational framework is constructed in which everyone receives a …",12,"N Chusseau, J Hellier",European Journal of Comparative …,papers.ssrn.com,2010
Intergenerational Mobility and Return Migration: Comparing sons of foreign and native born fathers,C Dustmann - 2005 - discovery.ucl.ac.uk,"… This paper studies the intergenerational mobility in earnings and education for father-son pairs
… We find higher intergenerational mobility for father-son pairs with native born fathers than …",22,C Dustmann,,discovery.ucl.ac.uk,2005
